search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"cannelloni uncooked",22,"Italian pasta cannelloni. Raw tube for ...","https://depositphotos.com/179662464/stock-photo-italian-pasta-cannelloni-raw-tube.html","https://st3.depositphotos.com/7423068/17966/i/1600/depositphotos_179662464-stock-photo-italian-pasta-cannelloni-raw-tube.jpg",1600,1167,
"cannelloni uncooked",23,"Uncooked cannelloni pasta on cutting ...","https://www.alamy.com/stock-image-uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-165974333.html","https://c8.alamy.com/comp/KJ0NXN/uncooked-cannelloni-pasta-on-cutting-board-and-ingredients-italian-KJ0NXN.jpg",1300,956,
"cannelloni uncooked",24,"recipes: spring meal plan ~ week 1 ...","https://wots4dinner.wordpress.com/spring-wk1-recipes/","https://wots4dinner.files.wordpress.com/2018/03/spinach-cannelloni-uncooked.jpg",4272,2548,
"cannelloni uncooked",25,"Italian pasta cannelloni. raw tube for ...","https://www.freepik.com/premium-photo/italian-pasta-cannelloni-raw-tube-stuffing-stuffing-surrounded-by-ingredients-cooking_3953299.htm","https://image.freepik.com/free-photo/italian-pasta-cannelloni-raw-tube-stuffing-stuffing-surrounded-by-ingredients-cooking_71756-1052.jpg",626,417,
"cannelloni uncooked",26,"Italian uncooked cannelloni pasta tu ...","https://creativemarket.com/OleksandrRybitskyi/3689517-Italian-uncooked-cannelloni-pasta-tu","https://cmkt-image-prd.freetls.fastly.net/0.1.0/ps/6233607/910/607/m2/fpnw/wm1/d3o7oe7pcoesehdsifdk3tntrmivm3gptiwrg4ifecqkzphxzltzhjthlgaybnrm-.jpg?1554973356&s=2b5dc19abebf686adb428bff562048a8",1820,1214,
"cannelloni uncooked",27,"Cannelloni and lasagne pasta - Free ...","https://freefoodphotos.com/imagelibrary/bread/slides/cannelloni_lasagne.html","https://freefoodphotos.com/imagelibrary/bread/cannelloni_lasagne.jpg",3500,2341,
"cannelloni uncooked",28,"Basic Spinach And Ricotta Cannelloni ...","https://www.recipe30.com/cannelloni.html/","https://www.recipe30.com/wp-content/uploads/2016/10/cannelloni-848x477.jpg",848,477,
"cannelloni uncooked",29,"Italian Pasta Cannelloni. Raw Tube For ...","https://www.123rf.com/photo_97140021_italian-pasta-cannelloni-raw-tube-for-stuffing-stuffing-surrounded-by-ingredients-for-cooking-parmes.html","https://previews.123rf.com/images/detry/detry1803/detry180300189/97140021-italian-pasta-cannelloni-raw-tube-for-stuffing-stuffing-surrounded-by-ingredients-for-cooking-parmes.jpg",1300,866,
"cannelloni uncooked",30,"Uncooked cannelloni pasta on cutting ...","https://eu.clipdealer.com/photo/media/A:79226850","https://images.assetsdelivery.com/compings_v2/detry/detry1712/detry171200650.jpg",450,300,
"cannelloni uncooked",31,"Italian uncooked cannelloni pasta tubes ...","https://stock.adobe.com/images/italian-uncooked-cannelloni-pasta-tubes-isolated-on-white-background/239285645","https://as1.ftcdn.net/jpg/02/39/28/56/500_F_239285645_RlF6ktRL7OldlLO1hUKuytnoGogXY6Rq.jpg",500,262,
"cannelloni uncooked",32,"Cannelloni raw uncooked meat ...","https://www.canstockphoto.com/meat-cannelloni-9612152.html","https://comps.canstockphoto.com/meat-cannelloni-stock-photo_csp9612152.jpg",450,357,
"cannelloni uncooked",33,"Uncooked Cannelloni Pasta Cutting Board ...","https://depositphotos.com/200213482/stock-photo-uncooked-cannelloni-pasta-cutting-board.html","https://st4.depositphotos.com/2208212/20021/i/1600/depositphotos_200213482-stock-photo-uncooked-cannelloni-pasta-cutting-board.jpg",1600,1167,
"cannelloni uncooked",34,"Italian Pasta Uncooked Cannelloni Stock ...","https://www.istockphoto.com/th/photo/italian-pasta-uncooked-cannelloni-gm493311486-76836313","https://media.istockphoto.com/photos/italian-pasta-uncooked-cannelloni-picture-id493311486",1024,768,
"cannelloni uncooked",35,"Italian uncooked cannelloni pasta tubes ...","https://www.canstockphoto.com/italian-uncooked-cannelloni-pasta-68168934.html","https://comps.canstockphoto.com/italian-uncooked-cannelloni-pasta-stock-photos_csp68168934.jpg",450,320,
"cannelloni uncooked",36,"Cannelloni Stuffed With Leeks & Brie ...","http://www.delicieux.eu/?p=1496","http://www.delicieux.eu/wp-content/uploads/2013/02/1-IMG_2325.jpg",640,427,
"cannelloni uncooked",37,"Uncooked cannelloni closeup. Unprepared ...","https://www.alamy.com/uncooked-cannelloni-closeup-unprepared-pasta-on-beige-the-suns-rays-refresh-the-tubes-of-dry-cannelloni-eye-level-shooting-selective-focus-image353226272.html","https://c8.alamy.com/comp/2BEJRM0/uncooked-cannelloni-closeup-unprepared-pasta-on-beige-the-suns-rays-refresh-the-tubes-of-dry-cannelloni-eye-level-shooting-selective-focus-2BEJRM0.jpg",1300,951,
"cannelloni uncooked",38,"Italian Uncooked Cannelloni Pasta Stock ...","https://www.dreamstime.com/italian-uncooked-cannelloni-pasta-tubes-isolated-white-background-image144481207","https://thumbs.dreamstime.com/b/italian-uncooked-cannelloni-pasta-tubes-isolated-white-background-144481207.jpg",800,533,
"cannelloni uncooked",39,"Italian uncooked cannelloni pasta tubes ...","https://stock.adobe.com/images/italian-uncooked-cannelloni-pasta-tubes-isolated-on-white/239186526","https://as2.ftcdn.net/jpg/02/39/18/65/500_F_239186526_5Iv2or6rJ075w9K3xLtLVAZ6h4uQCL88.jpg",500,469,
"cannelloni uncooked",40,"Italian uncooked cannelloni pasta tubes ...","https://us.fotolia.com/id/239285646","https://t3.ftcdn.net/jpg/02/39/28/56/500_F_239285646_KWbhgjBfsEJbt4I3Ay0PHl9XDDpPARzL.jpg",500,326,
"cannelloni uncooked",41,"Uncooked cannelloni pasta on cutting ...","https://depositphotos.com/181728134/stock-photo-uncooked-cannelloni-pasta-on-cutting.html","https://st3.depositphotos.com/4781917/18172/i/1600/depositphotos_181728134-stock-photo-uncooked-cannelloni-pasta-on-cutting.jpg",1068,1700,
"cannelloni uncooked",42,"Uncooked cannelloni pasta on cutting ...","https://www.pixtastock.com/photo/37459878","https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcT-8xH6e03Ca1S-GM75evccjCJvyxNd9OxEblg9gWgIdWG52wee&usqp=CAU",450,318,
"cannelloni uncooked",43,"raw pasta macaroni cartoon Vector Image","https://www.vectorstock.com/royalty-free-vector/cannelloni-pasta-raw-pasta-macaroni-cartoon-vector-14096557","https://cdn3.vectorstock.com/i/1000x1000/65/57/cannelloni-pasta-raw-pasta-macaroni-cartoon-vector-14096557.jpg",1000,1080,
"cannelloni uncooked",44,"Spinach Ricotta Stuffed Manicotti ...","https://www.jocooks.com/recipes/stuffed-manicotti/","https://www.jocooks.com/wp-content/uploads/2020/03/stufed-manicotti-1a.jpg",1200,1500,
"cannelloni uncooked",45,"uncooked Italian cannelloni tubes ...","https://www.alamy.com/high-angle-view-of-uncooked-italian-cannelloni-tubes-and-lasagne-pasta-in-sheets-made-from-dried-durum-wheat-dough-image343560550.html","https://c8.alamy.com/comp/2AXXEYJ/high-angle-view-of-uncooked-italian-cannelloni-tubes-and-lasagne-pasta-in-sheets-made-from-dried-durum-wheat-dough-2AXXEYJ.jpg",1300,959,
"cannelloni uncooked",46,"Make-Ahead Spinach Manicotti Recipe ...","https://www.tasteofhome.com/recipes/make-ahead-spinach-manicotti/","https://www.tasteofhome.com/wp-content/uploads/2018/01/exps9869_SD153208B08_14_3b-696x696.jpg",696,696,
"cannelloni uncooked",47,"Spinach and Ricotta Cannelloni ...","https://www.recipetineats.com/spinach-ricotta-cannelloni/","https://i.ytimg.com/vi/PwWnmHBtFDk/maxresdefault.jpg",1280,720,
