search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"white potatos",28,"Mashed White Sweet Potatoes - Healthier ...","https://healthiersteps.com/recipe/mashed-white-sweet-potatoes/","https://cdn.shortpixel.ai/client/q_lossy,ret_img,w_1000/https://healthiersteps.com/wp-content/uploads/2019/09/mashed-white-sweet-potato-recipe.jpg",1000,993,
"white potatos",29,"White New Potatoes (each oz) - Instacart","https://www.instacart.com/products/18748642-white-new-potatoes-each-oz","https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_85fbc8e9-6fe2-4b61-9932-c783dbb73654.jpg",600,600,
"white potatos",30,"White Cheddar Mashed Potatoes | For the ...","https://www.fortheloveofcooking.net/2014/09/white-cheddar-mashed-potatoes.html","https://fortheloveofcooking-net.exactdn.com/wp-content/uploads/2014/09/DSC_8440.jpg?strip=all&lossy=1&quality=90&ssl=1",550,446,
"white potatos",31,"White Wine Smashed Potatoes - Recipe ...","https://www.finecooking.com/recipe/white-wine-smashed-potatoes","https://s3.amazonaws.com/finecooking.s3.tauntonclud.com/app/uploads/2017/04/18171211/051113048-01-smashed-potatoes-main.jpg",600,500,
"white potatos",32,"Baby White Potatoes","http://www.produceoasis.com/ProductDetailPage/TabId/272/pid/394/Vegetables/Baby-White-Potatoes.aspx","http://www.produceoasis.com/Uploads/2def1d0c-bf96-4b2c-ab0e-12950d5c8236.jpg",225,225,
"white potatos",33,"Ultimate Fluffy Mashed Potatoes ...","https://www.finecooking.com/recipe/ultimate-fluffy-mashed-potatoes","https://s3.amazonaws.com/finecooking.s3.tauntonclud.com/app/uploads/2017/04/18142317/fc56st046-03-thumb1x1.jpg",500,500,
"white potatos",34,"Scalloped Potatoes Recipe - Spend With ...","https://www.spendwithpennies.com/scalloped-potatoes-recipe/","https://www.spendwithpennies.com/wp-content/uploads/2018/11/SpendWithPennies-Scalloped-Potatoes-25.jpg",700,1050,
"white potatos",35,"california long white potato ...","https://www.pinterest.com/pin/497718196289224718/","https://i.pinimg.com/originals/9a/0b/d1/9a0bd1607e198e0c81fc21009d3857ca.jpg",450,337,
"white potatos",36,"Red and White Potatoes ...","https://pediaa.com/difference-between-red-and-white-potatoes/","http://pediaa.com/wp-content/uploads/2018/05/Difference-Between-Red-and-White-Potatoes_Figure2.jpg",640,480,
"white potatos",37,"White potatoes Nutrition Facts - Eat ...","https://www.eatthismuch.com/food/nutrition/white-potatoes,2093/","https://images.eatthismuch.com/site_media/img/2093_denists66_a5280180-ca69-4688-93bb-ea3492f609a2.png",1200,900,
"white potatos",38,"White Chocolate Mashed Potatoes | Olive ...","https://www.oliveandmango.com/white-chocolate-mashed-potatoes/","https://d33wubrfki0l68.cloudfront.net/83af074160e6b5b194280330cb1991143faac6e3/44f4d/images/uploads/2017_12_24_white_chocolate_mashed_potatoes_2.jpg",1280,1920,
"white potatos",39,"Potatoes | Produce Market Guide","https://www.producemarketguide.com/produce/potatoes","https://www.producemarketguide.com/sites/default/files/Commodities.tar/Commodities/potatoes_commodity-page.png",600,600,
"white potatos",40,"A Guide to Popular Types of Potatoes ...","https://www.jessicagavin.com/types-of-potatoes/","https://www.jessicagavin.com/wp-content/uploads/2017/11/yukon-gold-potatoes-cut-in-half-600x900.jpg",600,900,
"white potatos",41,"White Potatoes - LIFE Apps | LIVE and LEARN","https://lifeapps.io/ia/white-potatoes/","https://lifeapps.io/wp-content/uploads/2019/07/potato-176012507.jpg",1000,791,
"white potatos",42,"Chive Creamy Mashed Potatoes ...","https://www.willcookforsmiles.com/white-cheddar-and-chive-creamy-mashed-potatoes/","https://www.willcookforsmiles.com/wp-content/uploads/2017/11/White-Cheddar-and-Chive-Mashed-Potatoes-4.jpg",900,600,
"white potatos",43,"Are White Potatoes Paleo? | Paleo Leap","https://paleoleap.com/are-white-potatoes-paleo/","https://paleoleap.com/wp-content/uploads/2013/04/potato-s.jpg",200,200,
"white potatos",44,"Potato Potaahto … Which ""type"" of ...","https://danettemay.com/potato-potaahto-which-type-of-potatoes-are-healthiest/","http://danettemay.com/wp-content/uploads/2017/07/white-potato-1.jpg",350,233,
"white potatos",45,"Fluffy White Sweet Potatoes | Just A ...","https://www.justapinch.com/recipes/side/potatoes/fluffy-white-sweet-potatoes.html","https://lh3.googleusercontent.com/3mFnjLcyPi_YRthr_0ZkhVPT7Rv0RI6EfGYemNv2c1HGaZHk0vjUbS5JuBm1x4Dt89sG2eGCNFM4Mu52jDodIb-02QDHGEe-1F2q_w=w600-l68",600,448,
